drug_a,drug_b,label
DB01029,DB11614,1
DB01217,DB01388,0
DB01076,DB13919,1
DB01029,DB09198,1
DB01152,DB06218,1
DB00328,DB08875,1
DB00289,DB00297,1
DB01028,DB06695,0
DB12332,DB09095,0
DB09555,DB01013,0
DB00382,DB01155,1
DB00978,DB01558,1
DB00628,DB06693,0
DB01224,DB01410,1
DB00700,DB06287,1
DB00866,DB00704,0
DB00377,DB09555,1
DB01171,DB11614,1
DB00250,DB09237,1
DB00864,DB04957,1
DB00177,DB01069,1
DB00518,DB00202,0
DB04844,DB11672,1
DB01337,DB12319,0
DB05294,DB00377,0
DB01048,DB12020,0
DB00717,DB09244,0
DB02703,DB04794,0
DB01210,DB00582,0
DB04908,DB00675,0
DB02187,DB11730,1
DB01118,DB12543,1
DB06218,DB11689,1
DB02187,DB09235,0
DB00234,DB00661,1
DB09166,DB01076,0
DB00384,DB01268,0
DB05246,DB08864,1
DB09167,DB08868,0
DB01029,DB01138,1
DB00661,DB01072,1
DB12874,DB00663,0
DB00412,DB01264,1
DB08933,DB01026,0
DB00361,DB00872,1
DB00863,DB11753,1
DB00476,DB08864,1
DB04829,DB08865,1
DB09237,DB00527,0
DB01079,DB01201,0
DB00788,DB01656,1
DB00696,DB04076,0
DB09238,DB00799,0
DB04832,DB01007,0
DB11886,DB13879,1
DB00737,DB00953,0
DB06729,DB11753,0
DB00188,DB01155,1
DB00911,DB00949,0
DB00545,DB00706,0
DB01264,DB03701,1
DB06412,DB00796,0
DB00953,DB06287,0
DB00214,DB01075,1
DB00396,DB00401,1
DB01472,DB09039,1
DB00224,DB05294,1
DB00297,DB12471,0
DB02703,DB03010,0
DB00563,DB05239,1
DB09223,DB11613,0
DB00465,DB00783,1
DB08918,DB06401,0
DB04856,DB00908,0
DB00744,DB04855,1
DB01221,DB11730,1
DB01026,DB01406,1
DB00617,DB01283,1
DB00501,DB00744,1
DB00972,DB01190,1
DB09013,DB00907,0
DB01100,DB01166,1
DB00476,DB01012,1
DB00993,DB01142,1
DB09232,DB06729,0
DB00439,DB06210,1
DB00208,DB01224,1
DB00180,DB01406,1
DB00494,DB09063,0
DB01252,DB01609,1
DB13878,DB00839,0
DB00490,DB00977,1
DB00717,DB00757,0
DB00619,DB00711,0
DB00270,DB12332,1
DB08901,DB00395,0
DB01254,DB09128,0
DB00327,DB04652,0
DB01167,DB00724,0
DB00734,DB04977,0
DB00590,DB01114,1
DB00471,DB00553,1
DB00532,DB01396,0
DB06756,DB01396,0
DB00588,DB01126,1
DB00530,DB09195,1
DB06691,DB06595,0
DB00757,DB01611,1
DB00705,DB00745,1
DB01667,DB08893,0
DB00338,DB00477,0
DB00213,DB00396,1
DB01074,DB00953,0
DB00469,DB09099,0
DB12582,DB04908,0
DB01764,DB06210,0
DB04665,DB11757,1
DB09327,DB05109,0
DB01611,DB08860,1
DB00932,DB04845,1
DB01295,DB01590,1
DB08868,DB00978,0
DB01405,DB11679,0
DB04884,DB01013,0
DB00270,DB09101,1
DB00814,DB01069,1
DB06636,DB11682,1
DB00622,DB06287,1
DB00382,DB00744,1
DB00261,DB12329,0
DB00908,DB00983,1
DB09048,DB12887,1
DB04938,DB06712,1
DB01587,DB09101,1
DB00627,DB01621,1
DB12978,DB12329,0
DB06678,DB06693,0
DB01183,DB00448,0
DB00468,DB01142,1
DB01248,DB08864,1
DB00736,DB06595,1
DB00482,DB01232,1
DB01050,DB02134,0
DB01275,DB08882,1
DB01155,DB00988,0
DB09225,DB12245,1
DB01039,DB09124,0
DB00661,DB00745,1
DB01130,DB05814,0
DB00422,DB01667,0
DB00758,DB01032,1
DB08893,DB01418,0
DB06691,DB09238,0
DB01394,DB00324,0
DB00700,DB00779,0
DB00752,DB11586,1
DB04835,DB09054,0
DB00951,DB11886,1
DB00571,DB00717,1
DB00717,DB01026,1
DB00238,DB01114,1
DB01590,DB09079,1
DB00608,DB04889,1
DB01191,DB01591,1
DB00953,DB01086,0
DB00214,DB01131,1
DB00477,DB00568,1
DB00737,DB12130,0
DB08827,DB00490,0
DB00495,DB12301,0
DB08903,DB11689,0
DB00382,DB00998,1
DB00185,DB00333,1
DB01155,DB06702,0
DB09102,DB00283,0
DB12147,DB01214,0
DB08811,DB06702,0
DB11921,DB00949,0
DB12548,DB00888,0
DB00201,DB00820,0
DB00717,DB00813,1
DB00904,DB00888,0
DB00704,DB01026,1
DB12329,DB01621,0
DB01137,DB04076,1
DB12184,DB01183,0
DB00176,DB00982,1
DB00392,DB11757,0
DB00784,DB01223,1
DB01259,DB00969,0
DB00714,DB01261,1
DB00976,DB01064,0
DB08502,DB00224,0
DB00904,DB06636,1
DB00740,DB00621,0
DB09213,DB00508,0
DB12319,DB11682,0
DB01248,DB11712,1
DB00628,DB12612,0
DB00846,DB01395,0
DB09274,DB00205,0
DB08895,DB09124,0
DB00590,DB00261,0
DB01261,DB01214,0
DB00906,DB11560,0
DB00582,DB12319,1
DB00751,DB00322,0
DB00865,DB04938,1
DB06777,DB11886,0
DB01173,DB09183,1
DB01590,DB06636,1
DB00388,DB00351,0
DB00188,DB00396,1
DB09079,DB00294,0
DB03515,DB00185,0
DB00783,DB04076,1
DB01611,DB09223,0
DB01129,DB11679,1
DB01103,DB01259,1
DB00169,DB09185,1
DB00440,DB09291,0
DB05219,DB12466,0
DB01136,DB01685,1
DB04861,DB05541,0
DB00343,DB00574,1
DB01591,DB06207,0
DB01037,DB04908,1
DB00188,DB01472,1
DB00277,DB09167,1
DB00169,DB09049,0
DB00503,DB01171,1
DB00706,DB00907,1
DB01195,DB09128,1
DB04572,DB01117,0
DB08865,DB01252,0
DB00193,DB01406,1
DB05271,DB06626,0
DB00788,DB01059,1
DB00289,DB00503,1
DB00751,DB01035,1
DB02187,DB01190,0
DB04845,DB08864,1
DB00872,DB06237,1
DB00851,DB04574,1
DB00268,DB04855,0
DB00169,DB01132,0
DB00932,DB08903,1
DB12941,DB00817,0
DB00738,DB11757,1
DB00425,DB00784,1
DB11952,DB01067,0
DB00891,DB01873,0
DB06401,DB00379,0
DB01131,DB01217,0
DB00661,DB01621,1
DB05239,DB00749,0
DB04845,DB00484,0
DB01223,DB00711,0
DB00187,DB00724,0
DB00176,DB04977,0
DB04898,DB01114,0
DB09241,DB12332,1
DB00337,DB04946,0
DB01253,DB00927,0
DB04889,DB09297,0
DB00315,DB11757,1
DB11560,DB12026,0
DB01117,DB00851,0
DB00266,DB00347,1
DB00972,DB08816,1
DB01166,DB09225,1
DB01242,DB11672,1
DB09216,DB12147,0
DB00589,DB09291,1
DB01400,DB12026,0
DB06292,DB00445,0
DB00947,DB09225,0
DB08868,DB00998,0
DB04894,DB09291,0
DB00297,DB00608,1
DB11921,DB00753,0
DB00215,DB04076,1
DB01037,DB09183,1
DB00694,DB00906,0
DB00674,DB01198,0
DB04356,DB11791,1
DB00531,DB04839,1
DB01558,DB11753,1
DB00297,DB09296,0
DB09236,DB09073,0
DB00714,DB06267,1
DB00346,DB01097,0
DB00496,DB08807,1
DB12612,DB06077,0
DB01026,DB01035,1
DB00699,DB09291,1
DB00582,DB00726,1
DB01013,DB09204,0
DB12141,DB00201,0
DB00945,DB12026,0
DB01222,DB01134,0
DB05812,DB00952,0
DB00619,DB01166,1
DB00687,DB04908,0
DB00988,DB04844,0
DB06702,DB08864,1
DB00836,DB01264,1
DB00846,DB12161,0
DB00201,DB01590,1
DB09013,DB00365,0
DB06595,DB06700,1
DB00194,DB06700,0
DB01406,DB00330,0
DB01232,DB06210,1
DB00683,DB01609,0
DB00810,DB01393,0
DB00712,DB01075,1
DB00846,DB00471,0
DB00201,DB04825,0
DB00976,DB12278,1
DB05814,DB11952,1
DB01406,DB01611,1
DB00240,DB01054,0
DB06756,DB00270,0
DB00335,DB01320,0
DB01142,DB00367,0
DB00749,DB00891,1
DB00396,DB07615,1
DB06412,DB00988,0
DB00396,DB00813,1
DB13874,DB06412,0
DB00758,DB02703,1
DB01193,DB01411,0
DB06287,DB06419,1
DB09213,DB06412,0
DB00622,DB09299,1
DB00381,DB00554,1
DB00656,DB09053,1
DB00343,DB00932,1
DB01221,DB01611,1
DB01104,DB01410,1
DB00891,DB01559,0
DB01044,DB00621,0
DB09128,DB09227,1
DB09183,DB12245,1
DB00762,DB06152,0
DB06144,DB13874,1
DB01369,DB06148,0
DB01190,DB00472,0
DB00396,DB00976,1
DB01152,DB00554,0
DB00608,DB08865,1
DB06701,DB00627,0
DB00297,DB01609,0
DB04630,DB11718,0
DB00490,DB08827,0
DB01167,DB02703,1
DB00784,DB00694,0
DB00857,DB12278,0
DB01621,DB00487,0
DB12543,DB08808,0
DB00238,DB00328,1
DB00425,DB01012,1
DB00412,DB00593,1
DB00636,DB06803,0
DB09048,DB09102,1
DB00696,DB11751,0
DB04898,DB01403,0
DB01393,DB01359,0
DB00204,DB01039,1
DB00959,DB01583,0
DB00699,DB12161,1
DB06739,DB00352,0
DB06594,DB12371,1
DB01096,DB06636,0
DB01583,DB06774,0
DB11855,DB04725,0
DB06741,DB00396,0
DB00334,DB11679,1
DB06207,DB00440,0
DB00762,DB01103,1
DB01396,DB01409,0
DB00588,DB08816,1
DB11679,DB01558,0
DB00487,DB01685,0
DB00486,DB06777,0
DB09327,DB05219,0
DB01764,DB12978,1
DB00216,DB09227,1
DB01591,DB05812,1
DB08865,DB12941,1
DB00622,DB01406,1
DB09238,DB12332,1
DB00696,DB01223,1
DB09273,DB00982,0
DB12582,DB00977,0
DB00972,DB01079,1
DB05109,DB08865,1
DB01232,DB01411,1
DB11886,DB08918,0
DB00619,DB01173,1
DB00674,DB01263,1
DB00401,DB00209,0
DB00575,DB00779,1
DB00352,DB11757,0
DB00263,DB01045,0
DB00176,DB00191,1
DB00589,DB01214,0
DB00215,DB01406,1
DB00361,DB00751,1
DB01210,DB00163,0
DB00215,DB08880,0
DB04846,DB11682,0
DB00590,DB09238,1
DB00906,DB00448,0
DB00377,DB11619,0
DB01685,DB08864,1
DB01200,DB06803,0
DB11575,DB01009,0
DB01228,DB12001,0
DB00933,DB08868,0
DB00908,DB09065,1
DB09123,DB00933,0
DB01208,DB01580,0
DB00932,DB05039,1
DB09049,DB00977,0
DB09034,DB00184,0
DB00779,DB00205,0
DB01167,DB06781,0
DB11753,DB00764,0
DB12329,DB01193,0
DB04070,DB11753,0
DB00195,DB00910,0
DB00978,DB09167,1
DB01087,DB04884,1
DB00736,DB01338,0
DB08868,DB01394,0
DB01131,DB01007,0
DB01210,DB12278,0
DB00636,DB01142,0
DB00327,DB00180,0
DB01201,DB01369,0
DB00619,DB01076,1
DB00501,DB01171,1
DB00238,DB01242,1
DB00998,DB01076,0
DB00582,DB01591,1
DB12278,DB01104,0
DB00818,DB11967,1
DB13919,DB00591,0
DB00678,DB08933,0
DB00176,DB00528,1
DB05219,DB12513,0
DB00297,DB01032,0
DB00395,DB01039,1
DB00356,DB04216,1
DB01406,DB00668,0
DB01173,DB09101,1
DB01577,DB01007,0
DB00924,DB01357,0
DB00674,DB00932,1
DB02709,DB01536,0
DB01708,DB12471,0
DB00813,DB01248,1
DB00243,DB00810,1
DB09244,DB01155,0
DB00918,DB02187,0
DB01072,DB11943,1
DB00118,DB04825,0
DB00851,DB00927,1
DB05154,DB04871,0
DB01018,DB09143,0
DB00448,DB12020,1
DB00818,DB12457,0
DB00757,DB00337,0
DB01233,DB02489,1
DB11942,DB01079,0
DB00396,DB01136,1
DB01410,DB00896,0
DB00263,DB00745,0
DB00233,DB00228,0
DB00454,DB01126,0
DB04839,DB09166,0
DB01062,DB11586,1
DB00849,DB11575,0
DB01074,DB12978,0
DB01176,DB01058,0
DB08864,DB09073,1
DB00444,DB00731,1
DB00184,DB01369,0
DB00549,DB11560,1
DB11718,DB11823,1
DB00568,DB11586,1
DB01198,DB06595,1
DB01191,DB04871,1
DB00173,DB12548,0
DB00814,DB11619,0
DB00176,DB00261,1
DB00911,DB01263,1
DB13874,DB02789,0
DB00379,DB06738,1
DB11682,DB12612,1
DB01576,DB12332,1
DB00518,DB12267,1
DB11796,DB01587,0
DB06738,DB11757,1
DB06603,DB11963,1
DB01118,DB12010,1
DB07615,DB01064,0
DB01134,DB01136,0
DB00949,DB00741,0
DB00629,DB00730,1
DB00636,DB08808,0
DB01685,DB06605,1
DB09065,DB09195,1
DB12941,DB09143,0
DB00204,DB13179,1
DB00234,DB09048,1
DB00661,DB04884,1
DB06654,DB02489,0
DB01069,DB01591,1
DB00918,DB12267,1
DB00721,DB01238,1
DB11757,DB00896,0
DB00918,DB11689,1
DB00439,DB00918,1
DB00674,DB00726,1
DB01628,DB05246,1
DB00277,DB09224,1
DB06210,DB11672,1
DB00627,DB11979,1
DB12874,DB00163,0
DB01131,DB01611,1
DB00361,DB00656,1
DB04665,DB06726,0
DB00255,DB00863,0
DB00475,DB11737,0
DB00745,DB09061,1
DB01559,DB11757,1
DB01079,DB09288,1
DB00947,DB12093,0
DB00629,DB01369,0
DB00118,DB00177,0
DB00215,DB00627,1
DB01087,DB00266,0
DB01406,DB11967,0
DB00343,DB11915,1
DB00783,DB12301,1
DB12329,DB00973,0
DB00906,DB09227,1
DB12978,DB08875,0
DB01587,DB02789,0
DB01208,DB03010,0
DB00169,DB12466,0
DB01536,DB00202,0
DB01227,DB06595,1
DB00993,DB00528,0
DB00841,DB00487,0
DB09013,DB06401,0
DB00163,DB00555,0
DB00891,DB08931,0
DB01337,DB01873,0
DB12471,DB00836,0
DB00412,DB00617,1
DB12235,DB11817,0
DB04829,DB04839,0
DB00414,DB00532,1
DB00549,DB11652,0
DB00381,DB11967,1
DB00187,DB09173,1
DB00896,DB11823,0
DB00805,DB06603,1
DB01095,DB08922,1
DB01074,DB01181,1
DB00668,DB00897,0
DB11855,DB06789,0
DB00330,DB00745,0
DB00589,DB09245,1
DB12543,DB09274,0
DB01611,DB04725,1
DB00402,DB08502,1
DB01097,DB11823,1
DB00367,DB04856,1
DB01192,DB12010,0
DB12466,DB08820,0
DB01320,DB12319,1
DB00810,DB04840,1
DB00201,DB11672,1
DB00377,DB11586,1
DB04898,DB08995,1
DB04911,DB00591,0
DB00186,DB01132,0
DB00557,DB11995,0
DB00482,DB11689,1
DB01685,DB06738,1
DB00834,DB11730,1
DB00518,DB09166,1
DB01041,DB03783,1
DB09198,DB09274,0
DB00636,DB00253,0
DB01359,DB03783,1
DB00173,DB00214,0
DB03496,DB01198,0
DB01254,DB02703,1
DB01134,DB11886,0
DB00997,DB09274,0
DB00936,DB08875,1
DB03701,DB00745,0
DB06512,DB00582,0
DB00539,DB01009,0
DB03010,DB08820,0
DB02703,DB12141,1
DB01155,DB01667,1
DB09061,DB12161,1
DB09039,DB00988,0
DB00617,DB11672,1
DB04794,DB06626,1
DB00346,DB12245,1
DB00546,DB00700,0
DB00802,DB00184,0
DB01177,DB13919,1
DB00608,DB11619,0
DB12147,DB09053,0
DB00353,DB01191,0
DB00696,DB01392,1
DB06729,DB08439,1
DB00956,DB00205,0
DB00932,DB06203,1
DB08868,DB12026,0
DB06144,DB11672,1
DB00185,DB00227,1
DB01393,DB01580,0
DB04840,DB00213,0
DB00549,DB01131,1
DB00977,DB11963,1
DB04552,DB00888,0
DB00496,DB01167,1
DB01008,DB01131,0
DB09229,DB12005,0
DB01131,DB01645,1
DB00799,DB00642,0
DB00263,DB01028,1
DB00731,DB11581,1
DB01075,DB01228,1
DB00629,DB04835,0
DB00363,DB00499,1
DB00248,DB01076,1
DB00907,DB09213,0
DB00586,DB01223,1
DB08882,DB12332,1
DB04884,DB09173,1
DB09166,DB00968,0
DB00533,DB00668,1
DB05541,DB01591,0
DB00365,DB11942,0
DB01103,DB12130,1
DB00216,DB00839,1
DB01667,DB13174,1
DB00675,DB11757,1
DB01050,DB08864,1
DB00571,DB00757,1
DB02709,DB00620,0
DB04871,DB04894,0
DB06594,DB06605,1
DB00304,DB00758,1
DB01097,DB06803,1
DB00367,DB12457,0
DB12020,DB09101,0
DB01136,DB11823,1
DB01228,DB11679,0
DB00757,DB00253,0
DB11619,DB09071,0
DB12161,DB00636,0
DB00615,DB00338,0
DB00487,DB00642,1
DB00751,DB00851,0
DB00553,DB09280,0
DB00751,DB09227,1
DB01588,DB08816,0
DB01065,DB04630,0
DB01191,DB01558,1
DB12005,DB06741,0
DB00860,DB09227,1
DB06595,DB06738,1
DB05039,DB03010,0
DB00951,DB12141,1
DB01086,DB04861,1
DB01337,DB11575,0
DB06228,DB08901,1
DB00169,DB11614,1
DB00849,DB06741,0
DB00392,DB00570,0
DB01032,DB01138,0
DB00623,DB00983,1
DB01656,DB05708,1
DB00740,DB04557,0
DB00468,DB09167,1
DB01134,DB00395,0
DB12887,DB06693,0
DB00199,DB09204,0
DB00184,DB12597,0
DB01044,DB01142,1
DB01026,DB03496,1
DB08811,DB01014,0
DB09245,DB00792,0
DB05246,DB12130,0
DB01232,DB04861,1
DB04894,DB00401,0
DB00603,DB01559,0
DB00866,DB11737,0
DB06605,DB12483,1
DB00422,DB00568,0
DB01097,DB00496,0
DB00490,DB00608,1
DB00972,DB11855,1
DB00176,DB00213,1
DB06817,DB00194,0
DB01411,DB00834,0
DB00191,DB01129,0
DB00685,DB06594,1
DB00679,DB01039,1
DB00444,DB00490,1
DB00315,DB01079,1
DB04572,DB09065,1
DB00675,DB08895,1
DB00118,DB04871,0
DB01181,DB09227,1
DB09237,DB00163,0
DB04855,DB08865,1
DB00539,DB00936,0
DB09071,DB12978,1
DB01194,DB13878,0
DB00335,DB00468,1
DB00622,DB11712,1
DB12612,DB00672,0
DB00396,DB04844,1
DB00228,DB09296,0
DB00737,DB00367,0
DB00255,DB00202,0
DB01254,DB08864,1
DB00333,DB08882,1
DB01167,DB08815,1
DB11952,DB00580,0
DB00439,DB04844,1
DB00851,DB00263,0
DB00675,DB11574,1
DB00240,DB08877,0
DB00294,DB11828,0
DB01095,DB12001,0
DB00395,DB01583,0
DB04855,DB12245,1
DB00945,DB11672,0
DB00361,DB06152,0
DB00455,DB00891,0
DB00608,DB11963,1
DB00283,DB00704,0
DB00490,DB01406,1
DB00685,DB09071,1
DB01142,DB05109,1
DB00395,DB01058,1
DB01393,DB08922,1
DB00730,DB11718,1
DB04825,DB09195,0
DB00343,DB06636,1
DB00677,DB01418,0
DB00792,DB00663,0
DB05708,DB11828,0
DB00696,DB04920,1
DB01418,DB12026,1
DB00455,DB00749,0
DB00910,DB00978,0
DB01059,DB00531,0
DB01087,DB11679,1
DB00180,DB11730,1
DB00598,DB05814,0
DB00465,DB09198,1
DB01601,DB11757,1
DB12245,DB13179,1
DB01173,DB00603,0
DB00787,DB00827,1
DB00669,DB00741,0
DB00570,DB12887,1
DB12693,DB01357,0
DB01245,DB08903,0
DB00696,DB00751,1
DB01035,DB12693,1
DB12235,DB01130,0
DB00307,DB00699,0
DB00312,DB00467,0
DB09280,DB00993,0
DB00933,DB09173,1
DB00799,DB13158,0
DB01194,DB09327,0
DB00949,DB08995,1
DB05239,DB00528,0
DB00622,DB00699,1
DB00496,DB08933,0
DB00813,DB00307,0
DB03515,DB06603,0
DB00193,DB00846,0
DB00819,DB00796,0
DB00495,DB00661,1
DB03515,DB09216,0
DB11995,DB00861,0
DB00850,DB00907,1
DB04861,DB01411,0
DB09017,DB11652,1
DB08931,DB11682,1
DB00469,DB01039,1
DB00227,DB01395,1
DB06700,DB11837,1
DB00622,DB11737,1
DB04574,DB00865,0
DB00327,DB09063,1
DB00731,DB09167,1
DB00857,DB02134,1
DB00191,DB00730,0
DB01623,DB04889,1
DB00590,DB04794,1
DB00805,DB09123,0
DB06228,DB01074,0
DB00972,DB05990,1
DB00749,DB00834,1
DB00599,DB09238,1
DB00180,DB00543,0
DB13879,DB01130,0
DB06282,DB12301,0
DB04871,DB04975,1
DB00255,DB12161,0
DB00384,DB04898,0
DB06210,DB12235,0
DB00792,DB01195,1
DB01050,DB01195,1
DB01192,DB11712,0
DB01253,DB09229,0
DB01236,DB12267,0
DB00575,DB01076,1
DB02187,DB12457,0
DB00533,DB01155,1
DB04911,DB06700,1
DB01253,DB09124,0
DB00849,DB01214,0
DB00527,DB09389,0
DB00783,DB01054,1
DB01167,DB04957,1
DB00568,DB04574,1
DB00255,DB00620,1
DB02489,DB03783,1
DB00118,DB01685,0
DB01166,DB11652,1
DB00563,DB00250,0
DB01211,DB01595,1
DB00846,DB09227,0
DB00471,DB01395,0
DB00745,DB06605,1
DB00846,DB01580,0
DB06626,DB09099,1
DB06739,DB00358,0
DB00379,DB12582,0
DB00740,DB00672,0
DB00476,DB00615,0
DB06738,DB12026,1
DB01079,DB08922,1
DB00215,DB01076,1
DB00333,DB08804,0
DB00333,DB00489,1
DB00603,DB06152,0
DB01472,DB00194,0
DB01214,DB00617,0
DB01254,DB11712,1
DB00468,DB01359,1
DB01248,DB04832,1
DB00214,DB12319,1
DB00745,DB04894,0
DB06729,DB06803,1
DB00270,DB00304,1
DB00636,DB11817,0
DB00208,DB01259,1
DB06595,DB09288,1
DB00201,DB11837,1
DB01132,DB11697,0
DB00696,DB00757,1
DB11791,DB09555,0
DB00615,DB00906,0
DB00997,DB01577,1
DB11581,DB01274,0
DB00827,DB04977,0
DB00347,DB06414,1
DB00617,DB00945,1
DB00289,DB00679,1
DB09296,DB00627,0
DB05039,DB01656,0
DB00712,DB12245,1
DB00202,DB09073,0
DB00924,DB12026,1
DB00927,DB01628,1
DB00706,DB02703,1
DB00412,DB00969,1
DB00213,DB00977,1
DB00557,DB00533,0
DB00620,DB12235,1
DB01392,DB09238,1
DB07615,DB00294,0
DB08910,DB00663,0
DB00982,DB06712,1
DB04894,DB01576,0
DB00717,DB06701,0
DB13158,DB06712,0
DB12582,DB01253,0
DB00851,DB01142,1
DB00487,DB12026,1
DB00737,DB00629,0
DB00977,DB09185,1
DB09237,DB11652,1
DB00482,DB00530,1
DB00191,DB11672,1
DB01074,DB06144,1
DB00993,DB00590,0
DB01263,DB04838,1
DB12612,DB01536,0
DB00784,DB04841,1
DB00851,DB09232,0
DB01388,DB11679,1
DB01254,DB01369,1
DB00185,DB08827,0
DB04841,DB01208,0
DB00327,DB09048,1
DB00759,DB08798,0
DB05039,DB06774,0
DB00623,DB00706,1
DB00503,DB01075,1
DB00851,DB01173,1
DB01406,DB08882,1
DB01217,DB06702,0
DB06412,DB01248,0
DB00322,DB11963,1
DB04840,DB01198,0
DB00758,DB01211,1
DB00528,DB00185,0
DB00471,DB01388,0
DB01167,DB09095,1
DB00563,DB09071,1
DB00906,DB08864,0
DB00696,DB01238,1
DB00608,DB04938,1
DB01012,DB00392,0
DB00448,DB06218,1
DB00554,DB01217,1
DB09204,DB11837,1
DB09166,DB01210,0
DB01208,DB12582,0
DB08895,DB00730,0
DB00679,DB00705,1
DB00191,DB11679,0
DB01181,DB01194,0
DB00960,DB11718,1
DB00501,DB01131,1
DB09034,DB04889,0
DB01628,DB00283,0
DB00696,DB01076,1
DB04898,DB08933,0
DB00475,DB01577,0
DB00118,DB01609,0
DB00968,DB02709,0
DB00762,DB01577,0
DB00539,DB00629,0
DB00846,DB00656,0
DB01008,DB01764,1
DB00741,DB04856,1
DB00261,DB12245,1
DB00328,DB04574,1
DB12457,DB00700,0
DB09297,DB00677,0
DB00374,DB01195,1
DB06414,DB12332,1
DB00591,DB06700,1
DB00443,DB04908,0
DB00238,DB08860,1
DB00762,DB01355,0
DB04835,DB00945,0
DB01044,DB00911,0
DB08882,DB04854,0
DB00208,DB11979,1
DB00677,DB00734,0
DB00382,DB01412,1
DB00788,DB08995,1
DB01035,DB11828,0
DB01142,DB04938,1
DB00679,DB00591,0
DB01544,DB04574,1
DB00977,DB00655,0
DB00787,DB01233,1
DB06414,DB06781,0
DB06218,DB00508,0
DB00367,DB13879,0
DB00343,DB00745,1
DB01117,DB02703,1
DB00471,DB00549,1
DB12713,DB04652,0
DB09273,DB01536,0
DB00317,DB00679,1
DB06693,DB04908,0
DB00621,DB00794,1
DB00250,DB00402,1
DB00668,DB08875,1
DB02489,DB00699,0
DB00489,DB00787,0
DB03010,DB08820,0
DB01412,DB09030,0
DB01191,DB04845,0
DB00374,DB01097,1
DB01232,DB06726,1
DB09143,DB11712,0
DB00188,DB00496,1
DB00214,DB00714,1
DB04839,DB00792,0
DB00956,DB00778,0
DB00252,DB01064,0
DB00788,DB04856,1
DB01261,DB00744,0
DB01591,DB09039,1
DB00914,DB09224,1
DB00969,DB00976,1
DB00751,DB11730,1
DB09274,DB08893,0
DB08933,DB01369,0
DB01223,DB12141,1
DB01558,DB00877,0
DB01075,DB06725,1
DB04216,DB08901,1
DB00224,DB00358,1
DB00998,DB12301,0
DB01263,DB09185,1
DB00734,DB09167,1
DB06605,DB09099,0
DB00977,DB09238,1
DB00675,DB01297,1
DB11995,DB00714,0
DB00841,DB01210,0
DB00946,DB01409,0
DB04835,DB00289,0
DB09389,DB00904,0
DB00455,DB12301,0
DB00104,DB06267,0
DB00740,DB09079,0
DB05990,DB06781,0
DB04856,DB03575,0
DB06693,DB00201,0
DB00204,DB09048,1
DB00841,DB00250,0
DB00863,DB00304,0
DB00490,DB08807,1
DB09071,DB11672,1
DB00402,DB01685,1
DB00335,DB11757,1
DB00857,DB04861,1
DB00188,DB11672,1
DB01007,DB00288,0
DB00476,DB13874,1
DB01132,DB12612,1
DB00489,DB01028,1
DB01072,DB01174,1
DB01118,DB01392,1
DB05541,DB11837,1
DB00448,DB01094,0
DB06595,DB11613,1
DB00467,DB01233,1
DB04832,DB13174,0
DB00863,DB01086,1
DB00224,DB11886,1
DB01007,DB00741,0
DB00751,DB00959,0
DB00757,DB08882,1
DB00177,DB01041,1
DB00347,DB12582,0
DB06702,DB00779,0
DB00307,DB01411,1
DB00864,DB11952,1
DB00778,DB01395,1
DB08827,DB00655,0
DB09143,DB06725,0
DB01242,DB06803,1
DB00334,DB01035,1
DB00327,DB01536,0
DB00993,DB00734,0
DB00530,DB00993,1
DB01211,DB12161,1
DB04911,DB00173,0
DB00927,DB12471,0
DB00818,DB06739,1
DB01190,DB06603,0
DB00897,DB00966,0
DB00490,DB01118,1
DB06412,DB06268,0
DB00495,DB00752,1
DB01601,DB11652,1
DB00845,DB08820,1
DB00678,DB00714,1
DB04908,DB08868,0
DB00448,DB00487,0
DB01232,DB13179,1
DB01412,DB01268,0
DB00945,DB08995,1
DB01873,DB04356,1
DB09013,DB11901,0
DB01062,DB08933,0
DB01190,DB01067,0
DB00317,DB01410,1
DB00574,DB09555,1
DB08860,DB11967,0
DB00590,DB00288,0
DB02703,DB06730,1
DB04356,DB01384,0
DB00414,DB00484,0
DB00224,DB11986,1
DB09034,DB00983,0
DB00827,DB01623,1
DB11693,DB01536,0
DB01409,DB01576,1
DB09048,DB11823,1
DB00468,DB12319,1
DB00799,DB06701,0
DB00977,DB01559,0
DB12483,DB06678,0
DB01621,DB01152,0
DB11979,DB12267,1
DB01645,DB11921,0
DB01173,DB08827,1
DB11560,DB09290,0
DB12093,DB00307,0
DB00726,DB00687,0
DB00440,DB08816,1
DB01559,DB11672,1
DB00570,DB01114,1
DB05239,DB00467,0
DB00672,DB12371,1
DB00367,DB11575,0
DB01048,DB00188,0
DB04911,DB12674,0
DB04894,DB12235,1
DB02789,DB00623,0
DB00757,DB05219,0
DB01142,DB04856,1
DB01045,DB09274,1
DB00993,DB04871,1
DB01338,DB00736,0
DB00571,DB05814,0
DB01624,DB12693,1
DB00590,DB13874,1
DB01114,DB01232,1
DB01198,DB12245,1
DB00472,DB01303,1
DB01406,DB06691,0
DB00612,DB01264,1
DB00806,DB11672,1
DB00603,DB00589,0
DB06401,DB08912,1
DB01176,DB13174,0
DB01190,DB09079,0
DB04856,DB00988,0
DB00877,DB01274,0
DB01068,DB13179,1
DB01472,DB00412,0
DB05708,DB00337,0
DB00731,DB04725,1
